t_sec,loop_dt_ms,inst_fps
2.023581085205078125e+02,3.372192382812500000e+01,2.965429878234863281e+01
2.023905639648437500e+02,3.246498107910156250e+01,3.080241966247558594e+01
2.024241485595703125e+02,3.358221054077148438e+01,2.977766990661621094e+01
2.024565124511718750e+02,3.236484527587890625e+01,3.089772224426269531e+01
2.024922027587890625e+02,3.568077087402343750e+01,2.802630043029785156e+01
2.025237274169921875e+02,3.152513504028320312e+01,3.172072029113769531e+01
2.025597686767578125e+02,3.604102325439453125e+01,2.774616050720214844e+01
2.025910949707031250e+02,3.133893013000488281e+01,3.190919303894042969e+01
2.026236114501953125e+02,3.250527191162109375e+01,3.076424026489257812e+01
2.026583862304687500e+02,3.477501678466796875e+01,2.875627708435058594e+01
2.026930389404296875e+02,3.465700149536132812e+01,2.885419845581054688e+01
2.027238006591796875e+02,3.075885772705078125e+01,3.251095962524414062e+01
2.027596588134765625e+02,3.586315917968750000e+01,2.788376808166503906e+01
2.027912445068359375e+02,3.158879280090332031e+01,3.165679740905761719e+01
2.028233795166015625e+02,3.212905120849609375e+01,3.112447929382324219e+01
2.028586578369140625e+02,3.527808380126953125e+01,2.834621047973632812e+01
2.028935089111328125e+02,3.485488891601562500e+01,2.869038009643554688e+01
2.029251861572265625e+02,3.167009353637695312e+01,3.157553100585937500e+01
2.029598083496093750e+02,3.463387298583984375e+01,2.887346649169921875e+01
2.029933319091796875e+02,3.351402282714843750e+01,2.983825683593750000e+01
2.030246887207031250e+02,3.136086463928222656e+01,3.188687515258789062e+01
2.030584869384765625e+02,3.380107879638671875e+01,2.958485412597656250e+01
2.030950317382812500e+02,3.654122161865234375e+01,2.736635398864746094e+01
2.031252899169921875e+02,3.025269508361816406e+01,3.305490493774414062e+01
2.031608276367187500e+02,3.554725646972656250e+01,2.813156700134277344e+01
2.031918029785156250e+02,3.097176551818847656e+01,3.228747177124023438e+01
2.032246551513671875e+02,3.284812164306640625e+01,3.044314193725585938e+01
2.032589263916015625e+02,3.427600860595703125e+01,2.917492485046386719e+01
2.032945709228515625e+02,3.564620208740234375e+01,2.805348014831542969e+01
2.033250427246093750e+02,3.046083450317382812e+01,3.282904052734375000e+01
2.033610839843750000e+02,3.604698181152343750e+01,2.774157333374023438e+01
2.033931427001953125e+02,3.206491470336914062e+01,3.118673515319824219e+01
2.034254608154296875e+02,3.230905532836914062e+01,3.095107460021972656e+01
2.034610443115234375e+02,3.559207916259765625e+01,2.809613800048828125e+01
2.034954986572265625e+02,3.445410919189453125e+01,2.902411460876464844e+01
2.035267333984375000e+02,3.122472763061523438e+01,3.202589797973632812e+01
2.035619506835937500e+02,3.521514129638671875e+01,2.839687538146972656e+01
2.035949859619140625e+02,3.304100036621093750e+01,3.026542663574218750e+01
2.036266479492187500e+02,3.166294097900390625e+01,3.158266258239746094e+01
2.036600341796875000e+02,3.338193893432617188e+01,2.995631790161132812e+01
2.036976776123046875e+02,3.764605712890625000e+01,2.656320762634277344e+01
2.037270507812500000e+02,2.937293052673339844e+01,3.404495239257812500e+01
2.037629241943359375e+02,3.586888122558593750e+01,2.787932014465332031e+01
2.037949066162109375e+02,3.198838233947753906e+01,3.126134872436523438e+01
2.038266296386718750e+02,3.172683715820312500e+01,3.151905822753906250e+01
2.038616790771484375e+02,3.504800796508789062e+01,2.853229141235351562e+01
2.038968811035156250e+02,3.520798492431640625e+01,2.840264701843261719e+01
2.039278411865234375e+02,3.094696998596191406e+01,3.231334304809570312e+01
2.039634857177734375e+02,3.565716552734375000e+01,2.804485321044921875e+01
2.039955749511718750e+02,3.207683563232421875e+01,3.117514419555664062e+01
2.040269470214843750e+02,3.137207031250000000e+01,3.187548637390136719e+01
2.040606842041015625e+02,3.374004364013671875e+01,2.963837242126464844e+01
2.040947875976562500e+02,3.411293029785156250e+01,2.931439781188964844e+01
2.041294555664062500e+02,3.466105651855468750e+01,2.885082244873046875e+01
2.041661834716796875e+02,3.672099304199218750e+01,2.723237991333007812e+01
2.041956939697265625e+02,2.952504158020019531e+01,3.386955261230468750e+01
2.042275085449218750e+02,3.180003166198730469e+01,3.144651031494140625e+01
2.042613983154296875e+02,3.389787673950195312e+01,2.950037193298339844e+01
2.042966766357421875e+02,3.527307510375976562e+01,2.835023498535156250e+01
2.043288116455078125e+02,3.213691711425781250e+01,3.111686134338378906e+01
2.043635559082031250e+02,3.473997116088867188e+01,2.878528594970703125e+01
2.043954620361328125e+02,3.190898895263671875e+01,3.133913230895996094e+01
2.044289855957031250e+02,3.353309631347656250e+01,2.982128524780273438e+01
2.044643554687500000e+02,3.535985946655273438e+01,2.828065490722656250e+01
2.044975433349609375e+02,3.319001007080078125e+01,3.012954711914062500e+01
2.045303192138671875e+02,3.277516174316406250e+01,3.051091003417968750e+01
2.045653533935546875e+02,3.502988815307617188e+01,2.854705047607421875e+01
2.045962829589843750e+02,3.094410896301269531e+01,3.231632995605468750e+01
2.046312255859375000e+02,3.492999267578125000e+01,2.862869262695312500e+01
2.046641540527343750e+02,3.293490600585937500e+01,3.036292266845703125e+01
2.046981811523437500e+02,3.402805328369140625e+01,2.938751792907714844e+01
2.047306365966796875e+02,3.246092987060546875e+01,3.080626487731933594e+01
2.047648620605468750e+02,3.421211242675781250e+01,2.922941398620605469e+01
2.047967224121093750e+02,3.187108039855957031e+01,3.137640762329101562e+01
2.048347778320312500e+02,3.804492950439453125e+01,2.628471183776855469e+01
2.048649597167968750e+02,3.018999099731445312e+01,3.312356185913085938e+01
2.049021606445312500e+02,3.719997406005859375e+01,2.688173866271972656e+01
2.049329223632812500e+02,3.076076507568359375e+01,3.250894546508789062e+01
2.049664001464843750e+02,3.348302841186523438e+01,2.986587715148925781e+01
2.049999237060546875e+02,3.351497650146484375e+01,2.983740806579589844e+01
2.050300598144531250e+02,3.014516830444335938e+01,3.317281341552734375e+01
2.050662384033203125e+02,3.616809844970703125e+01,2.764867591857910156e+01
2.051002502441406250e+02,3.401088714599609375e+01,2.940234947204589844e+01
2.051334075927734375e+02,3.315901947021484375e+01,3.015770721435546875e+01
2.051680145263671875e+02,3.460693359375000000e+01,2.889594268798828125e+01
2.051991729736328125e+02,3.116512298583984375e+01,3.208715057373046875e+01
2.052314300537109375e+02,3.226113128662109375e+01,3.099705314636230469e+01
2.052661285400390625e+02,3.469776916503906250e+01,2.882029724121093750e+01
2.053005065917968750e+02,3.436398315429687500e+01,2.910023498535156250e+01
2.053332672119140625e+02,3.276205062866210938e+01,3.052311897277832031e+01
2.053689117431640625e+02,3.564405441284179688e+01,2.805517005920410156e+01
2.054007415771484375e+02,3.183507919311523438e+01,3.141189002990722656e+01
2.054339904785156250e+02,3.325796127319335938e+01,3.006798934936523438e+01
2.054677124023437500e+02,3.371977996826171875e+01,2.965618324279785156e+01
2.055015106201171875e+02,3.380012512207031250e+01,2.958568954467773438e+01
2.055336608886718750e+02,3.214096832275390625e+01,3.111293983459472656e+01
2.055686187744140625e+02,3.495597839355468750e+01,2.860741043090820312e+01
2.056005096435546875e+02,3.189301490783691406e+01,3.135482788085937500e+01
2.056347808837890625e+02,3.426599502563476562e+01,2.918345069885253906e+01
2.056665954589843750e+02,3.181600570678710938e+01,3.143072128295898438e+01
2.057035827636718750e+02,3.699207305908203125e+01,2.703281784057617188e+01
2.057339324951171875e+02,3.035497665405273438e+01,3.294352722167968750e+01
2.057695770263671875e+02,3.563499450683593750e+01,2.806230354309082031e+01
2.058011474609375000e+02,3.157210350036621094e+01,3.167353057861328125e+01
2.058324890136718750e+02,3.134489059448242188e+01,3.190312576293945312e+01
2.058688964843750000e+02,3.640389251708984375e+01,2.746958923339843750e+01
2.059042816162109375e+02,3.539299774169921875e+01,2.825417709350585938e+01
2.059338073730468750e+02,2.952909469604492188e+01,3.386490631103515625e+01
2.059703521728515625e+02,3.653693389892578125e+01,2.736956596374511719e+01
2.060007476806640625e+02,3.039503097534179688e+01,3.290011596679687500e+01
2.060372619628906250e+02,3.652095794677734375e+01,2.738153839111328125e+01
2.060687713623046875e+02,3.150224685668945312e+01,3.174376678466796875e+01
2.061035308837890625e+02,3.475785064697265625e+01,2.877047920227050781e+01
2.061356048583984375e+02,3.207183074951171875e+01,3.118000984191894531e+01
2.061694183349609375e+02,3.381824493408203125e+01,2.956983757019042969e+01
2.062030181884765625e+02,3.360199737548828125e+01,2.976013565063476562e+01
2.062353668212890625e+02,3.234291076660156250e+01,3.091867637634277344e+01
2.062692565917968750e+02,3.389286804199218750e+01,2.950473213195800781e+01
2.063047790527343750e+02,3.552007675170898438e+01,2.815309143066406250e+01
2.063352355957031250e+02,3.046298027038574219e+01,3.282672882080078125e+01
2.063716125488281250e+02,3.637099456787109375e+01,2.749443626403808594e+01
2.064017944335937500e+02,3.018307685852050781e+01,3.313114929199218750e+01
2.064375610351562500e+02,3.577399444580078125e+01,2.795326614379882812e+01
2.064726409912109375e+02,3.507614135742187500e+01,2.850940704345703125e+01
2.065050659179687500e+02,3.241706085205078125e+01,3.084795379638671875e+01
2.065374908447265625e+02,3.243374633789062500e+01,3.083208465576171875e+01
2.065710601806640625e+02,3.357291412353515625e+01,2.978591537475585938e+01
2.066057281494140625e+02,3.466606140136718750e+01,2.884665679931640625e+01
2.066365966796875000e+02,3.086209297180175781e+01,3.240221023559570312e+01
2.066705169677734375e+02,3.392195892333984375e+01,2.947942924499511719e+01
2.067063140869140625e+02,3.580117034912109375e+01,2.793204689025878906e+01
